scenario,lr,year,solarPV,windon,windoff
scenario_min_min_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_min,LR1,2040,1190064.759745652,408966.8805418129,99221.73051969102
scenario_min_min_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_avg,LR1,2040,1191869.488126934,407906.5889469326,99976.69791077782
scenario_min_min_high,LR1,2030,598352.545223885,297382.5,41596.5
scenario_min_min_high,LR1,2040,1192720.760271535,408106.1390653854,99796.21737801514
scenario_min_avg_min,LR1,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_min,LR1,2040,1182333.869280686,405369.3098291855,102247.846154956
scenario_min_avg_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_avg,LR1,2040,1181253.398714456,405369.3098291856,102361.6035698509
scenario_min_avg_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_high,LR1,2040,1182356.402954752,405369.3098291855,102282.2167148404
scenario_min_high_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_min,LR1,2040,1177097.330596103,409121.6869640037,101181.9859275627
scenario_min_high_avg,LR1,2030,598352.545223885,297382.5,41596.5
scenario_min_high_avg,LR1,2040,1177097.330596103,409121.6869640037,101181.9859275627
scenario_min_high_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_high,LR1,2040,1177097.330596103,409121.6869640037,101214.5060354262
scenario_avg_min_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_min,LR1,2040,1192120.745179873,409768.4811449293,99176.76418564818
scenario_avg_min_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_avg,LR1,2040,1192217.518890526,409758.6767096159,99221.730519691
scenario_avg_min_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_high,LR1,2040,1191331.975484862,408641.6592877951,99976.69791077766
scenario_avg_avg_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_min,LR1,2040,1177097.330596103,405369.3098291855,102753.0785334733
scenario_avg_avg_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_avg,LR1,2040,1177943.982795133,405369.3098291855,102677.3780584036
scenario_avg_avg_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_high,LR1,2040,1177966.373542868,405369.3098291855,102710.2711570652
scenario_avg_high_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_min,LR1,2040,1175035.724544076,409121.6869640037,101603.3912743316
scenario_avg_high_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_avg,LR1,2040,1175035.724544082,409121.6869640038,101603.3912743315
scenario_avg_high_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_high,LR1,2040,1175043.885985204,409121.6869640038,101635.911382195
scenario_high_min_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_min,LR1,2040,1189593.224786661,408584.9334608522,99976.69791077783
scenario_high_min_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_avg,LR1,2040,1191509.201199052,408560.5122078879,99976.6979107778
scenario_high_min_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_high,LR1,2040,1191285.07324309,408641.6592877961,99976.69791077783
scenario_high_avg_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_min,LR1,2040,1177943.982795128,405369.3098291855,102677.3780584035
scenario_high_avg_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_avg,LR1,2040,1178001.776268421,405265.44133011,102737.0854221265
scenario_high_avg_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_high,LR1,2040,1177966.373542879,405369.3098291855,102710.2711570654
scenario_high_high_min,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_min,LR1,2040,1175035.724544075,409121.6869640033,101603.3912743316
scenario_high_high_avg,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_avg,LR1,2040,1175035.724544082,409121.6869640037,101603.3912743315
scenario_high_high_high,LR1,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_high,LR1,2040,1175043.885985205,409121.6869640038,101635.911382195
scenario_min_min_min,LR3_5,2030,598352.5452238849,297382.5,41596.5
scenario_min_min_min,LR3_5,2040,1183515.417510393,400287.7200747646,99976.69791077782
scenario_min_min_avg,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_min_min_avg,LR3_5,2040,1179796.524514579,400754.9037354289,99976.69791077782
scenario_min_min_high,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_min_min_high,LR3_5,2040,1179796.524514579,400754.9037354286,99976.6979107778
scenario_min_avg_min,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_min,LR3_5,2040,1180193.671636122,403007.6539982408,98403.96377349347
scenario_min_avg_avg,LR3_5,2030,598352.5452238849,297382.5,41596.5
