tech,year,learning_rate,scenario,Remanufacturing,Manufacturing,Stockpile
windoff,2025,LR1,scenario_min_min_min,0.0,1.68,0.0
windoff,2030,LR1,scenario_min_min_min,0.0,12.337418537885169,0.0
windoff,2035,LR1,scenario_min_min_min,16.564711256395128,20.79632970344899,0.621418537885168
windoff,2040,LR1,scenario_min_min_min,17.72029408870611,23.568145714180943,0.621418537885168
windoff,2025,LR1,scenario_min_min_avg,0.1,1.58,0.0
windoff,2030,LR1,scenario_min_min_avg,0.1,11.616,0.0
windoff,2035,LR1,scenario_min_min_avg,16.729870841944468,20.63117011789966,0.4356432925689073
windoff,2040,LR1,scenario_min_min_avg,17.658901816045162,23.585261062133025,0.4356432925689073
windoff,2025,LR1,scenario_min_min_high,1.0,0.68,0.0
windoff,2030,LR1,scenario_min_min_high,1.0,10.99588715603843,0.0
windoff,2035,LR1,scenario_min_min_high,16.729870841944468,20.631170117899657,0.2798871560384296
windoff,2040,LR1,scenario_min_min_high,17.69235305884342,23.788459638842344,0.2798871560384296
windoff,2025,LR1,scenario_min_avg_min,0.0,1.68,0.0
windoff,2030,LR1,scenario_min_avg_min,0.1,11.616,0.0
windoff,2035,LR1,scenario_min_avg_min,1.0,33.93549858730974,2.519498549257363
windoff,2040,LR1,scenario_min_avg_min,1.0,43.310620491264594,2.519498549257363
windoff,2025,LR1,scenario_min_avg_avg,0.1,1.58,0.0
windoff,2030,LR1,scenario_min_avg_avg,0.1,11.616,0.0
windoff,2035,LR1,scenario_min_avg_avg,1.0,33.91696009874143,2.511900808040844
windoff,2040,LR1,scenario_min_avg_avg,1.0,43.27900523245707,2.511900808040844
windoff,2025,LR1,scenario_min_avg_high,0.1,1.58,0.0
windoff,2030,LR1,scenario_min_avg_high,0.1,11.616,0.0
windoff,2035,LR1,scenario_min_avg_high,0.9999999999994761,33.92768029264765,2.516294330133543
windoff,2040,LR1,scenario_min_avg_high,0.9999999999994761,43.297287289463135,2.516294330133543
windoff,2025,LR1,scenario_min_high_min,0.0,1.68,0.0
windoff,2030,LR1,scenario_min_high_min,0.0,11.716,0.0
windoff,2035,LR1,scenario_min_high_min,0.0,34.28118109172564,2.6201881002474363
windoff,2040,LR1,scenario_min_high_min,0.0,43.82960372892,2.6201881002474363
windoff,2025,LR1,scenario_min_high_avg,0.0,1.68,0.0
windoff,2030,LR1,scenario_min_high_avg,0.0,11.716,0.0
windoff,2035,LR1,scenario_min_high_avg,0.0,34.28102744478763,2.6201251301909525
windoff,2040,LR1,scenario_min_high_avg,0.0,43.82934170174919,2.6201251301909525
windoff,2025,LR1,scenario_min_high_high,0.0,1.68,0.0
windoff,2030,LR1,scenario_min_high_high,0.0,11.716,0.0
windoff,2035,LR1,scenario_min_high_high,0.0,34.29117048183186,2.6242821125868123
windoff,2040,LR1,scenario_min_high_high,0.0,43.84663948414747,2.6242821125868123
windoff,2025,LR1,scenario_avg_min_min,1.0,0.68,0.0
windoff,2030,LR1,scenario_avg_min_min,1.0,10.995887156038428,0.0
windoff,2035,LR1,scenario_avg_min_min,16.729870841944468,20.63117011789966,0.2798871560384282
windoff,2040,LR1,scenario_avg_min_min,17.69235305884342,23.78845963884235,0.2798871560384282
windoff,2025,LR1,scenario_avg_min_avg,0.0,1.68,0.0
windoff,2030,LR1,scenario_avg_min_avg,0.0,12.292651107505979,0.0
