tech,year,learning_rate,scenario,Remanufacturing,Manufacturing,Stockpile
windon,2025,LR1,scenario_min_min_min,3.9224,8.3016,0.0
windon,2030,LR1,scenario_min_min_min,14.298861700814836,37.00113829918517,0.0
windon,2035,LR1,scenario_min_min_min,48.380321314958984,55.424089393697855,0.0
windon,2040,LR1,scenario_min_min_min,49.16811458744364,61.46092200834778,0.0
windon,2025,LR1,scenario_min_min_avg,3.9224,8.3016,0.0
windon,2030,LR1,scenario_min_min_avg,14.298861700814848,37.00113829918517,0.0
windon,2035,LR1,scenario_min_min_avg,48.380321314959,55.424089393697855,0.0
windon,2040,LR1,scenario_min_min_avg,49.34054878899449,61.46092200834778,0.0
windon,2025,LR1,scenario_min_min_high,3.9224,8.3016,0.0
windon,2030,LR1,scenario_min_min_high,14.298861700814848,37.00113829918517,0.0
windon,2035,LR1,scenario_min_min_high,48.380321314959,55.424089393697855,0.0
windon,2040,LR1,scenario_min_min_high,49.10090315614312,61.46092200834778,0.0
windon,2025,LR1,scenario_min_avg_min,1.0,11.224,0.0
windon,2030,LR1,scenario_min_avg_min,10.0,42.858212540792366,0.0
windon,2035,LR1,scenario_min_avg_min,48.380321314958984,55.42408939369784,1.558212540792351
windon,2040,LR1,scenario_min_avg_min,48.380321314958984,59.541675920857905,1.558212540792351
windon,2025,LR1,scenario_min_avg_avg,1.5,10.724,0.0
windon,2030,LR1,scenario_min_avg_avg,10.0,42.651401482897455,0.0
windon,2035,LR1,scenario_min_avg_avg,48.380321314958984,55.42408939369784,1.351401482897455
windon,2040,LR1,scenario_min_avg_avg,48.380321314958984,59.609443768308914,1.351401482897455
windon,2025,LR1,scenario_min_avg_high,1.5,10.724,0.0
windon,2030,LR1,scenario_min_avg_high,10.000000000000014,42.65140148289744,0.0
windon,2035,LR1,scenario_min_avg_high,48.38032131495901,55.42408939369783,1.3514014828975587
windon,2040,LR1,scenario_min_avg_high,48.38032131495901,59.6094437683089,1.3514014828975587
windon,2025,LR1,scenario_min_high_min,0.1,12.124,0.0
windon,2030,LR1,scenario_min_high_min,0.1,51.2,0.0
windon,2035,LR1,scenario_min_high_min,0.1,97.53731641868764,5.699959662216236
windon,2040,LR1,scenario_min_high_min,0.1,112.72112826276322,5.699959662216236
windon,2025,LR1,scenario_min_high_avg,0.1,12.124,0.0
windon,2030,LR1,scenario_min_high_avg,0.1,51.2,0.0
windon,2035,LR1,scenario_min_high_avg,0.1,97.53731641868764,5.699959662216235
windon,2040,LR1,scenario_min_high_avg,0.1,112.72112826276322,5.699959662216235
windon,2025,LR1,scenario_min_high_high,0.1,12.124,0.0
windon,2030,LR1,scenario_min_high_high,0.1,51.2,0.0
windon,2035,LR1,scenario_min_high_high,0.1,97.5373164186877,5.6999596622162505
windon,2040,LR1,scenario_min_high_high,0.1,112.72112826276327,5.6999596622162505
windon,2025,LR1,scenario_avg_min_min,3.9224,8.3016,0.0
windon,2030,LR1,scenario_avg_min_min,14.298861700814836,37.00113829918517,0.0
windon,2035,LR1,scenario_avg_min_min,48.380321314958984,55.424089393697855,0.0
windon,2040,LR1,scenario_avg_min_min,49.43921637061121,61.46092200834778,0.0
windon,2025,LR1,scenario_avg_min_avg,3.9224,8.3016,0.0
windon,2030,LR1,scenario_avg_min_avg,14.298861700814852,37.001138299185165,0.0
windon,2035,LR1,scenario_avg_min_avg,48.380321314959,55.42408939369785,0.0
windon,2040,LR1,scenario_avg_min_avg,49.97708771990622,61.46092200834777,0.0
windon,2025,LR1,scenario_avg_min_high,3.9224,8.3016,0.0
windon,2030,LR1,scenario_avg_min_high,14.298861700814847,37.00113829918517,0.0
windon,2035,LR1,scenario_avg_min_high,48.380321314959,55.42408939369786,0.0
windon,2040,LR1,scenario_avg_min_high,49.44681861066689,61.46092200834779,0.0
windon,2025,LR1,scenario_avg_avg_min,1.5,10.724,0.0
windon,2030,LR1,scenario_avg_avg_min,9.999999999999998,42.65140148289746,0.0
windon,2035,LR1,scenario_avg_avg_min,48.380321314959,55.42408939369786,1.351401482897441
windon,2040,LR1,scenario_avg_avg_min,48.380321314959,59.609443768308935,1.351401482897441
windon,2025,LR1,scenario_avg_avg_avg,1.5,10.724,0.0
windon,2030,LR1,scenario_avg_avg_avg,10.0,42.65140148289748,0.0
windon,2035,LR1,scenario_avg_avg_avg,48.380321314959026,55.424089393697884,1.3514014828974772
windon,2040,LR1,scenario_avg_avg_avg,48.380321314959026,59.609443768308964,1.3514014828974772
windon,2025,LR1,scenario_avg_avg_high,1.5,10.724,0.0
windon,2030,LR1,scenario_avg_avg_high,10.0,42.65140148289744,0.0
windon,2035,LR1,scenario_avg_avg_high,48.380321314958984,55.42408939369783,1.351401482897443
windon,2040,LR1,scenario_avg_avg_high,48.380321314958984,59.6094437683089,1.351401482897443
windon,2025,LR1,scenario_avg_high_min,0.0,12.224,0.0
windon,2030,LR1,scenario_avg_high_min,0.1,51.2,0.0
windon,2035,LR1,scenario_avg_high_min,0.1,97.53731641868772,5.699959662216273
windon,2040,LR1,scenario_avg_high_min,0.1,112.7211282627633,5.699959662216273
windon,2025,LR1,scenario_avg_high_avg,0.1,12.124,0.0
windon,2030,LR1,scenario_avg_high_avg,0.1,51.2,0.0
windon,2035,LR1,scenario_avg_high_avg,0.1,97.53731641868772,5.699959662216277
windon,2040,LR1,scenario_avg_high_avg,0.1,112.7211282627633,5.699959662216277
windon,2025,LR1,scenario_avg_high_high,0.1,12.124,0.0
windon,2030,LR1,scenario_avg_high_high,0.1,51.2,0.0
windon,2035,LR1,scenario_avg_high_high,0.1,97.5373164186877,5.69995966221625
windon,2040,LR1,scenario_avg_high_high,0.1,112.72112826276327,5.69995966221625
windon,2025,LR1,scenario_high_min_min,3.9224,8.3016,0.0
windon,2030,LR1,scenario_high_min_min,14.298861700814848,37.00113829918517,0.0
windon,2035,LR1,scenario_high_min_min,48.380321314959,55.424089393697855,0.0
windon,2040,LR1,scenario_high_min_min,49.94577936119917,61.46092200834778,0.0
windon,2025,LR1,scenario_high_min_avg,3.9224,8.3016,0.0
windon,2030,LR1,scenario_high_min_avg,14.29886170081484,37.00113829918516,0.0
windon,2035,LR1,scenario_high_min_avg,48.38032131495898,55.42408939369782,0.0
windon,2040,LR1,scenario_high_min_avg,49.44681861066715,61.46092200834772,0.0
windon,2025,LR1,scenario_high_min_high,3.9224,8.3016,0.0
windon,2030,LR1,scenario_high_min_high,14.298861700814848,37.00113829918517,0.0
windon,2035,LR1,scenario_high_min_high,48.380321314959,55.424089393697855,0.0
windon,2040,LR1,scenario_high_min_high,49.54072454876263,61.46092200834778,0.0
